score,prompt,essay,comment
7,"Popular events like the football world cup and other international sporting occasions are essential in easing international tensions and releasing patriotic emotions in a safe way. To what extent do you agree or disagree with this opinion? 
","The World Cup football and the Olympics are held worldwide with great national support and expectations. As a fan of those competitions, I agree with the idea that sporting events can be necessary for international relations and national unity, but only partially, because such events can have unintended effects on relationships between countries. 

First of all, the World Cup, Olympics and other international games work for easing tensions among different nations. For example, South and North Korea have football games regularly two nations a chance to understand each other . In the mid of North Korean supporters came to South Korea with the footballers and they were very excited during the sporting events. Even if it sounds ridiculous, many South Koreans were quite surprised at that moment when North Koreans shouted and cried during the match. We all realized that they were very normal sports fans even though they were occasionally very secretive. Through the sports, two divided nations could reduce their political and ideological tensions and could feel the patriotic unity. 
On the other hand, some sports matches can make international relations worse. For instance, football or baseball games between Korea and Japan are always big matches in two countries where . Sometimes, after the matches, the two rivals blame each other and their patriotic emotions explode in an aggressive way. scenario is that the troubles caused by losing games affect the players directly. 
In conclusion, I think that international sporting occasions can be one of the good ways to ease tensions or to release patriotism safely. However, I believe that games can not be the fundamental ways for the sound patriotism or peaceful international relations.",N/A
7,"Some people say that the Internet is making the world smaller by bringing people together. To what extent do you agree that the internet is making it easier for people to communicate with one another? 
","In today's world due to the advancement of technology new inventions are coming into existence. It is true that 'Necessity is a mother of invention'. Internet is just like a wonder box, which contains every type of information. it has also proved a very important tool to connect people with one another. 

In today's modernized era nobody has sufficient time to write letters to their loved ones. it also takes longer to send or receive any information the Internet is the easiest way to send messages to our loved ones. Communication can be either in the form of e-mail or through text messages sent via to mobile phones. We can send and receive messages straight . 
today's young generation mostly prefers to do chatting through the Internet. During such chatting we can write messages and get replies straight away. voice chatting is . 
the advantages and disadvantages resemble two sides of one coin, also some downsides, causing people health problems poor eye-sight, back ache or migraines. Today's teenagers usually prefer to spend their time on the internet rather than in other physical activities, which causing them to have a weaker physical health. 
To conclude, I would like to say that the Internet is one of the most modernized and most successful tools, not only for regarding every field in a very short period of time. 
","This is a great essay, well done! Remember, 'the Internet' is a proper noun, currently, there is only one. Pay attention to your punctuation - many commas are missing after linking words. Otherwise, the essay is well argued and set out."
7,The government is spending a lot of money to discover life on other planets. Some people think that government is wasting money and should spend more money addressing the problems of public.,"With all the problems in the world today, spending money on space exploration is a complete waste. The money could be better spent on other causes. 
, every day, every year, celebrates its achievements in space exploration. However, it is now the time to question how meaningful these blasts are . 

First, until all urgent and important matters of the globe have been solved, money on space exploration is meaningless. It at all to invest millions of dollars researching and producing foods for astronauts (for space exploration purpose), while every day thousands of people are starving. Furthermore, the discovery of outer space only serves a minor group of people if the majority well-educated. do no even know how to prevent common threatening diseases such as AIDS and lung cancer. 
Then, some may argue that the purpose of space exploration to discover new lands, new energy resources or to deter potential threat to . Nevertheless, is it effective to do so while other alternatives are available? yet effectively used. New energy resources (e.g. solar and nuclear energy) have not yet been widely-used. Threats of plagues have not yet been deterred. All of these tasks that haven't been tackled yet require money. That is why costly space discovery programs are a waste of resources. 
In a nutshell, people should only invest in space exploration provided that urgent and important matters mentioned earlier in this essay have been solved. Also, purposes of space exploration campaigns should be studied carefully and other alternatives should be considered before the money is wasted. 
","This is a very good essay, well done."
7,"In some countries children have very strict rules of behavior, in other countries they are allowed to do almost anything they like. To what extent should children have to follow rules? 
","Freedom plays a pivotal role in everybody's life. We can see in today's modernized era that nobody likes to be restricted, whether it is a child or an adult. Some people think that there should some strict rules of behavior for children, but I disagree with this statement. 

that sometimes more restrictions can cause more frustration in children, which leads to many other mental problems as well. they can . Sometimes they feel under pressure, which can be the main reason for their poor performance in their field. In some cases children may insist on doing . 
In other words we have to look other aspects as well, if we usually ignore our children's bad habits, then they good human beings in their future life. Moreover if we never draw attention the children's main activities then they might end up in a bad company. They the value of respect for their elders importance of relationships. They their cultural values as well. 
In a nutshell, I would like to say that children should be the value of their customs, rituals and respect towards their elders for their future life, but most of the additional restriction should . It would good human beings in their future. 
","This is a good, well-written essay. Some sentences are too short and could be combined together to create a more complex structure. There is also some repetition of words, which should be avoided. Overall, nicely done."
7,"Some businesses prohibit smoking in any of their offices. Some governments have banned smoking in all public places. Do you agree or disagree that this is the right course of action? Give reasons for your opinion. 
",", organization and companies as well as governments impose restrictions in work places and public amenities. It has become fashionable in the world today . I feel that smoking can be harmful, but I don't think it should be forbidden completely. I would also argue that people should have the whether or not they should smoke. 

Allow me to present the three positive sides of smoking. Firstly, smoking certainly helps many people to relax. For some, it even improves concentration. If someone is upset or they have , to smoke to reduce the pressure or tension. people like to smoke when they are relaxing with friends. Secondly, governments throughout the world make huge profits from taxes on cigarettes. The income obtained through taxes provides funds which are used for building and public places such as parks, gardens, sports ground and foot paths. Thirdly, tobacco industry also employs tens of thousands of people all over the world, particularly in poorer countries such as Zimbabwe or the Philippines. Without cigarettes, these people would have no jobs. 
Despite these positive are lots of negative effects to smoking too. Initially, smoking has been proven to be very dangerous for health. cigarette contains more than 4000 chemical substances, therefore, it dangerous diseases such as heart attacks, asthma, bronchitis or lung cancer. According to a recent report in Britain close to 3,500 people are killed each year in road accidents and 120,000 are killed by smoking. Furthermore, smoking costs governments millions of dollars because of the large number of people who need treatment in hospitals for smoking-related problems. Moreover, passive smoking is also a major concern today. Recent research shows that non-smokers can suffer from health problems if they spend long periods of time among people who do smoke. In the UK children whose parents are are three times as likely to start smoking themselves . 
In short, I think the world would be a better place without cigarettes. However, the decision of whether smoke or not to smoke should be for each individual to make. I suggest that people should not smoke in a room or a place where there are non smokers, however they should be free to smoke elsewhere. 
","This is a very good essay, you have made your arguments well and set out the paragraphs as required. However, pay attention to your use of assertive statements e.g. 'Without cigarettes, these people would have no jobs'. Perhaps they would gain employment in another industry - we cannot be sure. Over all, well done!"
7,"The Internet when used as a source of information, has more drawbacks than advantages. To what extent do you agree with this statement? 
","Some people believe that internet access creates problems. There are several possible reasons why it can happen. 

Firstly, some data may be unverifiable. For example, they search for a data, there would be lots of choices that would appear on the screen. They would not be sure if the information they are reading is accurate. Some sources may even have outdated . Secondly, some sites may be unreliable. For instance, people sign up on one site that sells goods online. The goods would be paid for by a credit card, but the purchaser would not receive anything. And finally, not everything is available through the net. When my friend had tried to research for some pictures of 18th century paintings, he did not find any results. Then he was told by his teacher that they would only be available in the library. 
Others believe that the Internet is very useful and these are the justifications. Firstly, it is hard to get the same data, that is available through the Internet by other means. For example, if the directory information could not give me the accurate address and contact number of a place I to visit, I normally check that information on the Internet. In just one click, I would get all the details of that company. Secondly, research becomes more comprehensive. For instance, I do not have to buy lots of reading materials to complete my research. Most of the needed information can be found if I have Internet access. And finally, data is easily compared and contrasted. researched a study about overweight children a decade ago and at present was able to finish his research in just one day, as compared to a week if he would not use the Internet. 
In conclusion, let me reiterate that the Internet plays a big role in our life, because it makes data retrieval and comparison easier. 
","This is a good essay, the arguments are clear, the language and the grammar are also fine. The structure needs to be improved a little bit - make paragraphs smaller, re-structure them to create 5 paragraphs from 4. In case of an argument essay - give your opinion in the conclusion only. In case of an opinion essay - give your opinion in the introduction"
7,"We are becoming increasingly dependent on computers. They are used in business, hospitals, crime detection and even to fly planes. What things will they be used for in the future? Is this dependence on computers a good thing or should we be more suspicious of their benefits? 
","In the last two decades cybernetics have experienced a major breakthrough .This led to the utilization of computers in nearly all parts of our daily life, from personal computers to the ones performing complicated surgeries. Surely the uptake of this technology facilitates a lot of difficult tasks but is this excessive ripping the warmth out of our lives? . 

Most of the daily tasks individual experiences are time and effort consuming. These two qualities could be tremendously saved by the use of computers. The average period required to prepare a decent meal for a middle-class family is around an hour to hour and a half when using traditional methods. This time could be literally reduced to half if computerized are used instead. Moreover, a busy businessman is enabled to easily close a profitable deal with just a touch highly programmed laptop while enjoying his family vacation and not having to exert an extra effort of traveling long distances in order to a deal. 
On the other hand, new generations are growing remarkably dependent on these modern utilities, which makes them handicapped when it comes to a cup of tea. , psychologists suggest that one of the main reasons for rate increase is the recent electric inventions. This is due to the fact that humans by nature stay emotionally healthy through socializing, but due to the importance of modern technology to maintain a financially satisfying standard of life they gradually themselves. As time passes by each of these individuals gets stuck in a vicious circle of loneliness that eventually leads to suicidal attempts especially among youngsters. 
In conclusion, similarly to every other invention computers have their benefits and drawbacks, I personally think it all depends upon how we use the given tools . Moderation is the key here to keep the balance and allow us to live in harmony. 
","This is a good essay, nice vocabulary, a little too long (340 words instead of 250), a few grammatical mistakes. The topic is not fully covered (what about the “things will they be used for in future” part?)."
7,"Advertising is all around us, it is an unavoidable part of everyone's life. Some people say that advertising is a positive part of our lives while others say it is a negative one. Discuss both views and include your own opinion. Give reasons for your answer and include any relevant examples from your own knowledge or experience. You should write at least 250 words. 
","Many people wonder about . Some people think that it has negative impact in our life. However, positive effect on this world. 

? Of Course for several reasons: firstly, it motivates the psychological point in everyone, and women in particular. They will run to buy this advertised product especially if it's from , just to show their beauty to men, which may lead to negative effects of too much sexual attention. Secondly, you can sit comfortably with your family and suddenly the telephone is ringing, but it's nothing important, it's just another company to convince you to buy one of their products. It is a real . Lastly, sometimes you do not have the financial ability to buy something, but with these new methods of advertisement, you run to buy it, which affect your budget. 
On the other hand, there are some good sides to advertising. For instance, it compares the prices of many companies which the consumer. Besides, it really see more products which we unless the TV or Radio advertised them. , it breaks our daily routine and allows us to see new faces and learn the language better with the help of the daily updates they deliver through . 
In conclusion, as we can see there are many aspects to this . I feel that we gain no benefits at all from advertisement, it plays buy more things that they do not need it at all. 
","Your arguments are good and the paragraphs are set out well, however, you must be careful about making assertive statements, e.g. ' it motivates the psychological point in everyone'. How do you know that all advertisements do motivate every single person, for instance? Overall, this is a good essay, well done."
7,"Should wealthy nations be required to share their wealth with poorer nations by providing them with things such as food and education? Or is this the responsibility of the governments of poorer nations to look after their citizens? 
","I think that wealthy nations should be required to share their wealth with poorer nations. at providing such things as food and education because of the three following reasons. 

Firstly, citizens of both wealthy nations and poorer nations are human beings. Therefore, we can not look at, hear of, or talk about people who lack food, education, without compassion and sympathy. Sharing wealth with poorer nations is not only a good deed but is also a . 
Secondly, many nations in Africa and Asia are poor. Famine, diseases, crime and illiteracy are killing the citizens of these countries. , many nations in Europe and America are rich. If there are no actions taken, this inequality will increase dramatically. Poor countries will become poorer while rich countries will become richer. As a result, the poorest countries will become slaves of the richest countries. So, sharing wealth is useful way to prevent people from that bad future. 
Thirdly, although sharing wealth with poorer nations is very necessary this help should only stop at providing such things as food, medicine and education. Or else, poor nations may become dependent on the aid. They may lose enthusiasm to build their countries by themselves. Moreover, rich nations can take advantage of sharing wealth to interfere with the governance of poor nations'. This can't be considered a humane action and should be prevented. 
In my opinion, sharing wealth with poorer nations has both a bad side and a good side. What we have to do is its bad side and its good side. 
","This is an excellent essay, your arguments are convincing and very well presented. There are only a few minor mistakes, please read and consider the comments. Well done!"
7,"Should the same laws which prohibit the sale and consumption of heroin be applied to tobacco? Discuss. 
","Recently, a heated debate when a few reputable health organizations suggested the application of a similar act of heroin selling and usage prohibition . In this , I will analyze why the adoption of such a law could be a breakthrough in our youngsters' safety, according to my vision. 

Firstly, tobacco does not differ much from heroin when it comes to the addictive effect. , the active ingredient in tobacco, exerts its effect by acting directly on smoker's brain cells. Numerous experiments carried out by on animals, rats, proved that this toxic chemical does lead time to dependency, similarly to the effect experienced with . 
Secondly, the restriction on selling would surely show an instant decline in tobacco smoking. ” Having easy access to cigarettes puts a tremendous pressure, especially on teenagers,to resist such a temptation” Dr.Hisham , head of department at Alexandria Medical college , states firmly. “Giving the new generation the sense that the severity of smoking is to other lethal drugs usage be a life saving step, they will thank us for as they get older.” he continues. 
To recapitulate, applying of a futuristic law such as the suggested one will have a positive impact ,not only on young people's health but on our society as a whole. 
","Well done! This is a good essay, however, you should take care of your spelling."
